"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2070","2080","2090","2100"
"REMIND-MAgPIE 1.7-3.0","INDCi","World","GDP|MER","billion US$2010/yr OR local currency",50800.8007,56860.215,67893.7801,78563.4397,90983.3609,104105.9148,117653.0654,131524.9611,145887.9179,160256.3027,174303.6644,188630.5089,224137.2315,263567.2368,301161.2738,346358.8382
"REMIND-MAgPIE 1.7-3.0","NPi","World","GDP|MER","billion US$2010/yr OR local currency",50800.8007,56860.215,67893.7801,78563.4397,91195.7146,104579.4404,118318.0417,132296.3912,146673.6379,161049.5553,175155.738,189544.5052,224998.8316,264413.5501,302146.4978,347502.8013
"REMIND-MAgPIE 1.7-3.0","NPi2020_1000","World","GDP|MER","billion US$2010/yr OR local currency",50800.8007,56860.215,67893.7801,78563.4397,90760.7384,103638.6036,116723.5608,130153.579,144273.4977,158438.5014,172012.6365,185497.4879,219089.4818,256563.5506,292604.4254,336169.6241
"REMIND-MAgPIE 1.7-3.0","NPi2020_1600","World","GDP|MER","billion US$2010/yr OR local currency",50800.8007,56860.215,67893.7801,78563.4397,91026.59599999999,104224.8971,117577.5175,131139.7999,145177.8566,159285.4794,173003.8423,186862.99899999998,221090.2818,259086.0962,295588.5662,339615.4709
"REMIND-MAgPIE 1.7-3.0","NPi2020_400","World","GDP|MER","billion US$2010/yr OR local currency",50800.8007,56860.215,67893.7801,78563.4397,90516.9469,102887.8106,115603.3033,129086.9361,143353.9627,157441.9785,170646.35,183721.0053,216491.1669,253307.9028,288664.9696,331425.6168
"REMIND-MAgPIE 1.7-3.0","NoPolicy","World","GDP|MER","billion US$2010/yr OR local currency",50800.8007,56860.215,68052.4128,79178.7553,92055.5388,105347.7413,118900.2057,132693.389,146909.5121,161252.0819,175380.5973,189777.0255,225837.7287,265724.0786,303503.2768,348816.2434
"© CD-LINKS Scenario Explorer https://data.ene.iiasa.ac.at/cd-links"
